Price Date,Month,Min Price,Max Price,Prev Price,Price Change,Modal Price
2025-01-18,1,24.71,32.43,42.0,-12.43,29.57
2025-01-19,1,24.43,32.71,29.57,0.29,29.86
2025-01-20,1,23.0,30.38,29.86,-2.23,27.62
2025-01-21,1,23.62,31.12,27.62,-0.12,27.5
2025-01-22,1,22.9,32.12,27.5,0.2,27.7
2025-01-23,1,22.5,31.32,27.7,-0.6,27.1
2025-01-24,1,23.39,32.14,27.1,1.29,28.39
2025-01-25,1,23.62,32.15,28.39,-0.19,28.2
2025-01-26,1,23.82,32.45,28.2,0.38,28.58
2025-01-27,1,23.95,32.25,28.58,-0.22,28.35
2025-01-28,1,23.55,32.22,28.35,0.22,28.58
2025-01-29,1,22.9,32.88,28.58,-0.25,28.32
2025-01-30,1,23.95,33.1,28.32,0.57,28.9
2025-01-31,1,24.69,33.69,28.9,0.79,29.69
2025-02-01,2,24.92,33.76,29.69,0.02,29.71
2025-02-02,2,24.6,33.72,29.71,-0.36,29.35
2025-02-03,2,24.6,33.45,29.35,0.05,29.4
2025-02-04,2,25.08,34.15,29.4,0.53,29.92
2025-02-05,2,25.7,34.52,29.92,0.5,30.42
2025-02-06,2,17.87,25.13,30.42,-8.35,22.07
2025-02-07,2,25.58,34.5,22.07,8.53,30.6
2025-02-08,2,28.0,36.43,30.6,2.54,33.14
2025-02-09,2,28.71,36.43,33.14,0.0,33.14
2025-02-10,2,25.7,34.88,33.14,-2.04,31.1
2025-02-11,2,28.0,36.43,31.1,2.04,33.14
2025-02-12,2,25.74,33.61,33.14,-2.51,30.64
2025-02-13,2,25.58,35.12,30.64,0.59,31.22
2025-02-14,2,25.68,35.33,31.22,0.15,31.38
2025-02-15,2,25.86,35.58,31.38,0.25,31.62
2025-02-16,2,26.87,37.29,31.62,1.8,33.43
2025-02-17,2,26.0,35.62,33.43,-1.43,32.0
2025-02-18,2,26.01,35.81,32.0,-0.09,31.91
2025-02-19,2,26.26,35.91,31.91,0.3,32.21
2025-02-20,2,25.1,36.0,32.21,0.09,32.3
2025-02-21,2,25.98,35.75,32.3,-0.37,31.92
2025-02-22,2,26.7,36.2,31.92,0.4,32.33
2025-02-23,2,27.08,36.83,32.33,0.38,32.7
2025-02-24,2,27.08,37.08,32.7,0.25,32.95
2025-02-25,2,26.95,36.48,32.95,-0.55,32.4
