Price Date,Month,Min Price,Max Price,Prev Price,Price Change,Modal Price
2025-01-23,1,15.0,30.0,15.0,5.0,20.0
2025-01-24,1,15.0,30.0,20.0,0.0,20.0
2025-01-25,1,15.0,30.0,20.0,0.0,20.0
2025-01-26,1,15.0,30.0,20.0,0.0,20.0
2025-01-27,1,25.0,40.0,20.0,10.0,30.0
2025-01-28,1,25.0,40.0,30.0,0.0,30.0
2025-01-29,1,25.0,35.0,30.0,0.0,30.0
2025-01-30,1,25.0,40.0,30.0,0.0,30.0
2025-01-31,1,25.0,35.0,30.0,0.0,30.0
2025-02-01,2,20.0,30.0,30.0,-5.0,25.0
2025-02-02,2,20.0,30.0,25.0,0.0,25.0
2025-02-03,2,20.0,40.0,25.0,5.0,30.0
2025-02-04,2,20.0,35.0,30.0,0.0,30.0
2025-02-05,2,20.0,40.0,30.0,0.0,30.0
2025-02-06,2,20.0,30.0,30.0,-5.0,25.0
2025-02-07,2,20.0,30.0,25.0,0.0,25.0
2025-02-08,2,20.0,35.0,25.0,0.0,25.0
2025-02-09,2,20.0,40.0,25.0,5.0,30.0
2025-02-10,2,20.0,35.0,30.0,0.0,30.0
2025-02-11,2,20.0,40.0,30.0,0.0,30.0
2025-02-12,2,10.0,15.0,30.0,-18.0,12.0
2025-02-13,2,10.0,20.0,12.0,3.0,15.0
2025-02-14,2,10.0,25.0,15.0,5.0,20.0
2025-02-15,2,10.0,25.0,20.0,0.0,20.0
2025-02-16,2,10.0,25.0,20.0,0.0,20.0
2025-02-17,2,15.0,25.0,20.0,0.0,20.0
2025-02-18,2,10.0,20.0,20.0,-5.0,15.0
2025-02-19,2,15.0,25.0,15.0,5.0,20.0
2025-02-20,2,15.0,25.0,20.0,0.0,20.0
2025-02-22,2,15.0,25.0,20.0,0.0,20.0
2025-02-23,2,15.0,25.0,20.0,0.0,20.0
2025-02-24,2,15.0,25.0,20.0,0.0,20.0
2025-02-25,2,10.0,30.0,20.0,0.0,20.0
2025-02-27,2,15.0,25.0,20.0,0.0,20.0
2025-02-28,2,15.0,25.0,20.0,0.0,20.0
2025-03-01,3,15.0,25.0,20.0,0.0,20.0
2025-03-02,3,15.0,25.0,20.0,0.0,20.0
2025-03-03,3,15.0,25.0,20.0,0.0,20.0
2025-03-04,3,15.0,25.0,20.0,0.0,20.0
2025-03-05,3,15.0,25.0,20.0,0.0,20.0
2025-03-06,3,9.0,15.0,20.0,-8.0,12.0
2025-03-08,3,9.0,15.0,12.0,0.0,12.0
2025-03-09,3,9.0,15.0,12.0,0.0,12.0
2025-03-10,3,15.0,25.0,12.0,8.0,20.0
2025-03-11,3,15.0,30.0,20.0,5.0,25.0
2025-03-12,3,15.0,25.0,25.0,-5.0,20.0
2025-03-13,3,15.0,25.0,20.0,0.0,20.0
2025-03-14,3,10.0,30.0,20.0,0.0,20.0
2025-03-15,3,16.0,18.0,20.0,-3.0,17.0
2025-03-16,3,10.0,20.0,17.0,-2.0,15.0
2025-03-17,3,10.0,20.0,15.0,0.0,15.0
2025-03-18,3,15.0,25.0,15.0,5.0,20.0
2025-03-19,3,12.5,17.5,20.0,-4.5,15.5
2025-03-20,3,12.5,17.5,15.5,0.0,15.5
2025-03-21,3,14.0,20.0,15.5,2.5,18.0
2025-03-22,3,14.0,20.0,18.0,0.0,18.0
2025-03-23,3,14.0,20.0,18.0,0.0,18.0
2025-03-24,3,14.0,20.0,18.0,0.0,18.0
2025-03-25,3,14.0,20.0,18.0,0.0,18.0
2025-03-26,3,14.0,20.0,18.0,0.0,18.0
2025-03-27,3,14.0,20.0,18.0,0.0,18.0
2025-03-28,3,15.0,25.0,18.0,2.0,20.0
2025-03-29,3,20.0,30.0,20.0,5.0,25.0
2025-03-30,3,20.0,30.0,25.0,0.0,25.0
2025-03-31,3,20.0,30.0,25.0,0.0,25.0
2025-04-01,4,15.0,25.0,25.0,-5.0,20.0
2025-04-02,4,15.0,25.0,20.0,0.0,20.0
2025-04-03,4,20.0,30.0,20.0,5.0,25.0
2025-04-04,4,15.0,25.0,25.0,-5.0,20.0
2025-04-05,4,16.0,27.0,20.0,1.0,21.0
2025-04-06,4,18.0,30.0,21.0,4.0,25.0
2025-04-07,4,25.0,35.0,25.0,5.0,30.0
2025-04-08,4,7.0,15.0,30.0,-18.0,12.0
2025-04-09,4,7.0,15.0,12.0,0.0,12.0
2025-04-10,4,15.0,25.0,12.0,8.0,20.0
