Price Date,Month,Min Price,Max Price,Prev Price,Price Change,Modal Price
2025-01-23,1,25.0,40.0,25.0,5.0,30.0
2025-01-24,1,25.0,40.0,30.0,0.0,30.0
2025-01-25,1,25.0,40.0,30.0,0.0,30.0
2025-01-26,1,25.0,40.0,30.0,0.0,30.0
2025-01-27,1,30.0,50.0,30.0,10.0,40.0
2025-01-28,1,30.0,50.0,40.0,0.0,40.0
2025-01-29,1,30.0,45.0,40.0,0.0,40.0
2025-01-30,1,30.0,50.0,40.0,0.0,40.0
2025-01-31,1,30.0,50.0,40.0,0.0,40.0
2025-02-01,2,25.0,40.0,40.0,-10.0,30.0
2025-02-02,2,30.0,40.0,30.0,5.0,35.0
2025-02-03,2,30.0,50.0,35.0,5.0,40.0
2025-02-04,2,30.0,40.0,40.0,-5.0,35.0
2025-02-05,2,25.0,45.0,35.0,0.0,35.0
2025-02-06,2,25.0,40.0,35.0,0.0,35.0
2025-02-07,2,25.0,40.0,35.0,0.0,35.0
2025-02-08,2,25.0,45.0,35.0,0.0,35.0
2025-02-09,2,25.0,40.0,35.0,-5.0,30.0
2025-02-10,2,30.0,45.0,30.0,10.0,40.0
2025-02-11,2,30.0,40.0,40.0,-5.0,35.0
2025-02-12,2,20.0,35.0,35.0,-5.0,30.0
2025-02-13,2,20.0,35.0,30.0,0.0,30.0
2025-02-14,2,10.0,30.0,30.0,-10.0,20.0
2025-02-15,2,10.0,30.0,20.0,0.0,20.0
2025-02-16,2,10.0,30.0,20.0,0.0,20.0
2025-02-17,2,25.0,35.0,20.0,10.0,30.0
2025-02-18,2,10.0,30.0,30.0,-10.0,20.0
2025-02-19,2,25.0,35.0,20.0,10.0,30.0
2025-02-20,2,25.0,35.0,30.0,0.0,30.0
2025-02-21,2,25.0,35.0,30.0,0.0,30.0
2025-02-22,2,25.0,35.0,30.0,0.0,30.0
2025-02-23,2,25.0,35.0,30.0,0.0,30.0
2025-02-24,2,20.0,30.0,30.0,-5.0,25.0
2025-02-25,2,25.0,35.0,25.0,5.0,30.0
2025-02-26,2,20.0,30.0,30.0,-5.0,25.0
2025-02-27,2,20.0,30.0,25.0,0.0,25.0
2025-02-28,2,20.0,30.0,25.0,0.0,25.0
2025-03-01,3,25.0,35.0,25.0,5.0,30.0
2025-03-02,3,25.0,35.0,30.0,0.0,30.0
2025-03-03,3,15.0,25.0,30.0,-10.0,20.0
2025-03-04,3,15.0,25.0,20.0,0.0,20.0
2025-03-05,3,20.0,30.0,20.0,5.0,25.0
2025-03-06,3,20.0,30.0,25.0,0.0,25.0
2025-03-07,3,20.0,30.0,25.0,0.0,25.0
2025-03-08,3,20.0,30.0,25.0,0.0,25.0
2025-03-09,3,20.0,30.0,25.0,0.0,25.0
2025-03-10,3,20.0,30.0,25.0,0.0,25.0
2025-03-11,3,20.0,30.0,25.0,0.0,25.0
2025-03-12,3,20.0,40.0,25.0,5.0,30.0
2025-03-13,3,20.0,40.0,30.0,0.0,30.0
2025-03-14,3,25.0,45.0,30.0,5.0,35.0
2025-03-15,3,20.0,40.0,35.0,-5.0,30.0
2025-03-16,3,20.0,40.0,30.0,0.0,30.0
2025-03-17,3,40.0,50.0,30.0,15.0,45.0
2025-03-18,3,25.0,45.0,45.0,-10.0,35.0
2025-03-19,3,20.0,40.0,35.0,-5.0,30.0
2025-03-20,3,20.0,40.0,30.0,0.0,30.0
2025-03-21,3,20.0,40.0,30.0,0.0,30.0
2025-03-22,3,20.0,40.0,30.0,0.0,30.0
2025-03-23,3,20.0,40.0,30.0,0.0,30.0
2025-03-24,3,20.0,40.0,30.0,0.0,30.0
2025-03-25,3,20.0,40.0,30.0,0.0,30.0
2025-03-26,3,20.0,40.0,30.0,0.0,30.0
2025-03-27,3,25.0,45.0,30.0,5.0,35.0
2025-03-28,3,30.0,50.0,35.0,5.0,40.0
2025-03-29,3,25.0,40.0,40.0,-10.0,30.0
2025-03-30,3,25.0,40.0,30.0,0.0,30.0
2025-03-31,3,25.0,40.0,30.0,0.0,30.0
2025-04-01,4,25.0,45.0,30.0,0.0,30.0
2025-04-02,4,25.0,45.0,30.0,0.0,30.0
2025-04-03,4,30.0,50.0,30.0,10.0,40.0
2025-04-04,4,20.0,40.0,40.0,-10.0,30.0
2025-04-05,4,20.0,40.0,30.0,0.0,30.0
2025-04-07,4,25.0,45.0,30.0,5.0,35.0
2025-04-08,4,30.0,50.0,35.0,5.0,40.0
2025-04-09,4,30.0,50.0,40.0,0.0,40.0
2025-04-10,4,30.0,50.0,40.0,0.0,40.0
2025-04-11,4,30.0,50.0,40.0,0.0,40.0
2025-04-12,4,30.0,50.0,40.0,0.0,40.0
2025-04-13,4,30.0,50.0,40.0,0.0,40.0
2025-04-14,4,30.0,50.0,40.0,0.0,40.0
2025-04-15,4,30.0,50.0,40.0,0.0,40.0
2025-04-16,4,35.0,55.0,40.0,5.0,45.0
2025-04-17,4,30.0,50.0,45.0,-5.0,40.0
2025-04-18,4,25.0,45.0,40.0,-5.0,35.0
2025-04-19,4,30.0,50.0,35.0,5.0,40.0
2025-04-20,4,30.0,45.0,40.0,0.0,40.0
2025-04-21,4,30.0,50.0,40.0,0.0,40.0
2025-04-22,4,30.0,50.0,40.0,0.0,40.0
2025-04-23,4,30.0,50.0,40.0,0.0,40.0
2025-04-24,4,30.0,50.0,40.0,0.0,40.0
2025-04-25,4,25.0,45.0,40.0,-5.0,35.0
2025-04-26,4,30.0,50.0,35.0,5.0,40.0
2025-04-27,4,30.0,50.0,40.0,0.0,40.0
2025-04-28,4,35.0,55.0,40.0,5.0,45.0
2025-04-30,4,35.0,55.0,45.0,0.0,45.0
2025-05-01,5,35.0,55.0,45.0,0.0,45.0
2025-05-02,5,35.0,55.0,45.0,0.0,45.0
2025-05-03,5,35.0,55.0,45.0,0.0,45.0
2025-05-06,5,30.0,50.0,45.0,-5.0,40.0
2025-05-07,5,30.0,50.0,40.0,0.0,40.0
2025-05-08,5,30.0,50.0,40.0,0.0,40.0
2025-05-09,5,30.0,50.0,40.0,0.0,40.0
2025-05-11,5,30.0,50.0,40.0,0.0,40.0
2025-05-12,5,30.0,50.0,40.0,0.0,40.0
2025-05-13,5,30.0,50.0,40.0,0.0,40.0
2025-05-14,5,30.0,50.0,40.0,0.0,40.0
2025-05-15,5,30.0,50.0,40.0,0.0,40.0
2025-05-16,5,30.0,50.0,40.0,0.0,40.0
2025-05-17,5,30.0,50.0,40.0,0.0,40.0
2025-05-18,5,30.0,50.0,40.0,0.0,40.0
2025-05-19,5,30.0,50.0,40.0,0.0,40.0
2025-05-20,5,30.0,50.0,40.0,0.0,40.0
2025-05-21,5,30.0,50.0,40.0,0.0,40.0
2025-05-22,5,30.0,50.0,40.0,0.0,40.0
2025-05-23,5,30.0,50.0,40.0,0.0,40.0
2025-05-24,5,30.0,50.0,40.0,0.0,40.0
2025-05-26,5,30.0,50.0,40.0,0.0,40.0
2025-05-27,5,30.0,50.0,40.0,0.0,40.0
2025-05-28,5,30.0,50.0,40.0,0.0,40.0
2025-05-29,5,30.0,50.0,40.0,0.0,40.0
2025-05-30,5,30.0,50.0,40.0,0.0,40.0
2025-05-31,5,20.0,30.0,40.0,-15.0,25.0
2025-06-02,6,20.0,30.0,25.0,0.0,25.0
2025-06-03,6,20.0,30.0,25.0,0.0,25.0
2025-06-04,6,20.0,30.0,25.0,0.0,25.0
2025-06-05,6,20.0,30.0,25.0,0.0,25.0
2025-06-06,6,20.0,30.0,25.0,0.0,25.0
2025-06-07,6,20.0,30.0,25.0,0.0,25.0
2025-06-08,6,20.0,30.0,25.0,0.0,25.0
2025-06-09,6,20.0,30.0,25.0,0.0,25.0
2025-06-10,6,25.0,45.0,25.0,10.0,35.0
2025-06-11,6,25.0,45.0,35.0,0.0,35.0
2025-06-12,6,25.0,45.0,35.0,0.0,35.0
2025-06-13,6,25.0,45.0,35.0,0.0,35.0
2025-06-14,6,30.0,50.0,35.0,5.0,40.0
2025-06-15,6,30.0,50.0,40.0,0.0,40.0
2025-06-16,6,25.0,45.0,40.0,-5.0,35.0
2025-06-17,6,25.0,45.0,35.0,0.0,35.0
2025-06-18,6,30.0,50.0,35.0,5.0,40.0
2025-06-19,6,30.0,50.0,40.0,0.0,40.0
2025-06-20,6,30.0,40.0,40.0,-5.0,35.0
2025-06-21,6,25.0,35.0,35.0,-5.0,30.0
2025-06-23,6,20.0,40.0,30.0,0.0,30.0
2025-06-24,6,20.0,40.0,30.0,0.0,30.0
2025-06-25,6,25.0,45.0,30.0,5.0,35.0
2025-06-26,6,30.0,50.0,35.0,5.0,40.0
2025-06-28,6,20.0,40.0,40.0,-10.0,30.0
2025-06-30,6,25.0,45.0,30.0,5.0,35.0
2025-07-01,7,30.0,50.0,35.0,5.0,40.0
2025-07-02,7,35.0,55.0,40.0,5.0,45.0
2025-07-03,7,30.0,50.0,45.0,-5.0,40.0
2025-07-04,7,25.0,45.0,40.0,-5.0,35.0
2025-07-05,7,25.0,45.0,35.0,0.0,35.0
2025-07-07,7,20.0,40.0,35.0,-5.0,30.0
2025-07-08,7,30.0,50.0,30.0,10.0,40.0
2025-07-09,7,30.0,50.0,40.0,0.0,40.0
2025-07-10,7,25.0,45.0,40.0,-5.0,35.0
2025-07-11,7,30.0,50.0,35.0,5.0,40.0
2025-07-12,7,30.0,50.0,40.0,0.0,40.0
2025-07-13,7,30.0,50.0,40.0,0.0,40.0
2025-07-14,7,25.0,45.0,40.0,-5.0,35.0
2025-07-15,7,20.0,40.0,35.0,-5.0,30.0
2025-07-16,7,20.0,40.0,30.0,0.0,30.0
2025-07-17,7,25.0,45.0,30.0,5.0,35.0
2025-07-18,7,30.0,50.0,35.0,5.0,40.0
2025-07-19,7,30.0,50.0,40.0,0.0,40.0
2025-07-20,7,25.0,45.0,40.0,-5.0,35.0
2025-07-21,7,25.0,45.0,35.0,0.0,35.0
2025-07-22,7,20.0,40.0,35.0,-5.0,30.0
2025-07-25,7,25.0,45.0,30.0,5.0,35.0
2025-07-28,7,20.0,40.0,35.0,-5.0,30.0
2025-07-29,7,15.0,35.0,30.0,-5.0,25.0
2025-07-31,7,15.0,35.0,25.0,0.0,25.0
2025-08-01,8,15.0,35.0,25.0,0.0,25.0
2025-08-02,8,15.0,35.0,25.0,0.0,25.0
2025-08-04,8,40.0,60.0,25.0,25.0,50.0
2025-08-05,8,40.0,60.0,50.0,0.0,50.0
2025-08-06,8,40.0,60.0,50.0,0.0,50.0
2025-08-07,8,40.0,60.0,50.0,0.0,50.0
2025-08-08,8,40.0,60.0,50.0,0.0,50.0
2025-08-12,8,40.0,60.0,50.0,0.0,50.0
2025-08-13,8,50.0,70.0,50.0,10.0,60.0
2025-08-14,8,40.0,60.0,60.0,-10.0,50.0
2025-08-15,8,40.0,60.0,50.0,0.0,50.0
2025-08-16,8,35.0,55.0,50.0,-5.0,45.0
2025-08-17,8,35.0,55.0,45.0,0.0,45.0
2025-08-18,8,30.0,50.0,45.0,-5.0,40.0
2025-08-20,8,30.0,50.0,40.0,0.0,40.0
2025-08-21,8,30.0,50.0,40.0,0.0,40.0
2025-08-22,8,30.0,40.0,40.0,-5.0,35.0
2025-08-23,8,30.0,40.0,35.0,0.0,35.0
2025-08-24,8,30.0,40.0,35.0,0.0,35.0
2025-08-25,8,30.0,40.0,35.0,0.0,35.0
2025-08-26,8,30.0,40.0,35.0,0.0,35.0
2025-08-27,8,30.0,40.0,35.0,0.0,35.0
2025-08-28,8,30.0,50.0,35.0,5.0,40.0
2025-08-29,8,30.0,50.0,40.0,0.0,40.0
2025-08-30,8,30.0,50.0,40.0,0.0,40.0
2025-08-31,8,30.0,50.0,40.0,0.0,40.0
2025-09-01,9,30.0,50.0,40.0,0.0,40.0
2025-09-02,9,30.0,50.0,40.0,0.0,40.0
2025-09-03,9,30.0,45.0,40.0,0.0,40.0
2025-09-04,9,30.0,45.0,40.0,0.0,40.0
2025-09-05,9,30.0,50.0,40.0,0.0,40.0
2025-09-06,9,20.0,40.0,40.0,-10.0,30.0
2025-09-08,9,30.0,45.0,30.0,10.0,40.0
2025-09-09,9,25.0,40.0,40.0,-10.0,30.0
2025-09-10,9,25.0,40.0,30.0,0.0,30.0
2025-09-12,9,25.0,35.0,30.0,0.0,30.0
2025-09-13,9,25.0,35.0,30.0,0.0,30.0
2025-09-14,9,25.0,35.0,30.0,0.0,30.0
2025-09-15,9,25.0,40.0,30.0,0.0,30.0
2025-09-16,9,25.0,40.0,30.0,0.0,30.0
2025-09-17,9,25.0,40.0,30.0,0.0,30.0
2025-09-18,9,20.0,40.0,30.0,0.0,30.0
2025-09-19,9,20.0,40.0,30.0,0.0,30.0
2025-09-20,9,20.0,40.0,30.0,0.0,30.0
2025-09-21,9,20.0,40.0,30.0,0.0,30.0
2025-09-22,9,20.0,40.0,30.0,0.0,30.0
2025-09-23,9,10.0,20.0,30.0,-15.0,15.0
2025-09-24,9,20.0,40.0,15.0,15.0,30.0
2025-09-25,9,20.0,40.0,30.0,0.0,30.0
2025-09-26,9,25.0,35.0,30.0,0.0,30.0
2025-09-27,9,25.0,40.0,30.0,0.0,30.0
2025-09-28,9,25.0,40.0,30.0,0.0,30.0
2025-09-29,9,25.0,40.0,30.0,0.0,30.0
2025-10-01,10,25.0,42.0,30.0,5.0,35.0
2025-10-03,10,25.0,40.0,35.0,-5.0,30.0
2025-10-04,10,25.0,40.0,30.0,0.0,30.0
2025-10-05,10,25.0,40.0,30.0,0.0,30.0
2025-10-06,10,40.0,60.0,30.0,20.0,50.0
2025-10-07,10,40.0,50.0,50.0,-5.0,45.0
2025-10-08,10,40.0,50.0,45.0,0.0,45.0
