Price Date,Month,Min Price,Max Price,Prev Price,Price Change,Modal Price
2025-01-03,1,25.5,30.0,26.0,1.5,27.5
2025-01-04,1,27.0,32.0,27.5,2.0,29.5
2025-01-05,1,30.0,32.0,29.5,1.5,31.0
2025-01-06,1,25.0,32.0,31.0,-2.5,28.5
2025-01-07,1,25.0,31.0,28.5,-0.5,28.0
2025-01-08,1,23.0,28.0,28.0,-2.5,25.5
2025-01-09,1,24.0,30.0,25.5,1.5,27.0
2025-01-10,1,26.0,34.0,27.0,3.0,30.0
2025-01-11,1,34.0,42.0,30.0,8.0,38.0
2025-01-16,1,30.0,40.0,38.0,-3.0,35.0
2025-01-17,1,34.0,41.0,35.0,2.0,37.0
2025-01-18,1,33.0,38.0,37.0,-1.5,35.5
2025-01-20,1,31.0,38.0,35.5,-1.0,34.5
2025-01-21,1,29.33,38.33,34.5,-0.83,33.67
2025-01-22,1,30.67,39.0,33.67,-0.67,33.0
2025-01-23,1,28.67,36.67,33.0,-0.67,32.33
2025-01-24,1,26.67,33.0,32.33,-2.67,29.67
2025-01-25,1,27.33,34.67,29.67,1.0,30.67
2025-01-27,1,27.0,34.33,30.67,-0.33,30.33
2025-01-28,1,26.33,35.67,30.33,1.0,31.33
2025-01-29,1,27.0,40.67,31.33,-0.67,30.67
2025-01-30,1,26.67,35.33,30.67,-1.33,29.33
2025-01-31,1,28.33,35.0,29.33,1.67,31.0
2025-02-01,2,21.38,27.75,31.0,-7.12,23.88
2025-02-03,2,23.88,30.12,23.88,2.68,26.55
2025-02-04,2,31.67,42.0,26.55,10.12,36.67
2025-02-05,2,32.0,41.33,36.67,0.67,37.33
2025-02-06,2,38.33,48.33,37.33,4.33,41.67
2025-02-07,2,39.33,49.33,41.67,2.33,44.0
2025-02-08,2,46.0,57.0,44.0,8.0,52.0
2025-02-10,2,44.5,60.0,52.0,3.0,55.0
2025-02-11,2,39.33,52.0,55.0,-10.0,45.0
2025-02-12,2,37.33,51.33,45.0,-3.33,41.67
2025-02-13,2,27.38,37.12,41.67,-9.67,32.0
2025-02-14,2,30.12,38.12,32.0,2.0,34.0
2025-02-15,2,38.33,49.67,34.0,10.0,44.0
2025-02-17,2,40.67,50.67,44.0,1.67,45.67
2025-02-18,2,40.33,50.67,45.67,-1.0,44.67
2025-02-19,2,38.0,53.67,44.67,-0.33,44.33
2025-02-20,2,41.33,57.0,44.33,2.67,47.0
2025-02-21,2,45.0,56.33,47.0,4.33,51.33
2025-02-22,2,46.67,61.0,51.33,2.67,54.0
2025-02-23,2,44.0,65.0,54.0,6.0,60.0
2025-02-24,2,48.0,61.33,60.0,-3.0,57.0
2025-02-25,2,42.33,60.33,57.0,-3.33,53.67
2025-02-26,2,46.33,64.67,53.67,1.0,54.67
2025-02-27,2,48.0,67.0,54.67,2.0,56.67
2025-02-28,2,48.33,65.0,56.67,1.67,58.33
2025-03-01,3,53.33,70.67,58.33,4.0,62.33
2025-03-03,3,68.0,90.67,62.33,17.67,80.0
2025-03-04,3,83.0,115.0,80.0,23.33,103.33
2025-03-05,3,72.33,105.67,103.33,-11.67,91.67
2025-03-06,3,55.0,80.33,91.67,-27.67,64.0
2025-03-07,3,53.0,71.67,64.0,-5.67,58.33
2025-03-08,3,58.33,75.33,58.33,9.33,67.67
2025-03-10,3,65.0,84.0,67.67,6.67,74.33
2025-03-11,3,70.0,87.5,74.33,5.67,80.0
2025-03-12,3,57.5,78.0,80.0,-8.5,71.5
2025-03-13,3,60.0,80.0,71.5,1.5,73.0
2025-03-14,3,62.67,79.33,73.0,-2.0,71.0
2025-03-15,3,65.0,83.0,71.0,3.0,74.0
2025-03-17,3,72.33,89.0,74.0,6.33,80.33
2025-03-18,3,72.0,92.0,80.33,3.67,84.0
2025-03-19,3,66.0,92.0,84.0,-1.33,82.67
2025-03-20,3,70.0,87.0,82.67,-2.33,80.33
2025-03-21,3,63.33,80.33,80.33,-7.33,73.0
2025-03-22,3,55.0,77.5,73.0,-3.5,69.5
2025-03-24,3,58.33,73.33,69.5,-3.17,66.33
2025-03-25,3,56.67,74.67,66.33,0.0,66.33
2025-03-26,3,56.0,72.67,66.33,-1.33,65.0
2025-03-27,3,53.33,75.33,65.0,-3.33,61.67
2025-03-28,3,53.33,74.67,61.67,2.33,64.0
2025-03-29,3,58.33,80.0,64.0,5.0,69.0
2025-03-31,3,90.0,123.0,69.0,37.0,106.0
2025-04-01,4,77.5,95.0,106.0,-20.0,86.0
2025-04-02,4,71.0,97.33,86.0,-6.0,80.0
2025-04-03,4,61.67,98.0,80.0,-6.67,73.33
2025-04-04,4,61.67,93.33,73.33,-1.0,72.33
2025-04-05,4,63.33,95.67,72.33,2.67,75.0
2025-04-07,4,60.0,99.33,75.0,0.0,75.0
2025-04-08,4,60.0,97.33,75.0,2.67,77.67
2025-04-09,4,60.0,96.67,77.67,-4.33,73.33
2025-04-10,4,50.0,80.67,73.33,-12.33,61.0
2025-04-11,4,45.0,79.33,61.0,-4.33,56.67
2025-04-12,4,70.0,95.0,56.67,23.33,80.0
2025-04-14,4,64.33,101.0,80.0,-3.0,77.0
2025-04-15,4,63.33,100.67,77.0,4.0,81.0
2025-04-16,4,55.0,88.67,81.0,-12.67,68.33
2025-04-17,4,53.33,88.33,68.33,2.67,71.0
2025-04-18,4,60.0,73.0,71.0,-6.5,64.5
2025-04-19,4,60.0,92.67,64.5,8.5,73.0
2025-04-21,4,61.67,95.67,73.0,2.0,75.0
2025-04-22,4,61.33,92.67,75.0,-2.33,72.67
2025-04-23,4,59.0,90.0,72.67,-1.33,71.33
2025-04-24,4,61.33,95.33,71.33,1.67,73.0
2025-04-25,4,60.0,93.0,73.0,-0.67,72.33
2025-04-26,4,59.33,94.67,72.33,0.67,73.0
2025-04-28,4,58.33,93.33,73.0,-3.33,69.67
2025-04-29,4,55.0,97.0,69.67,-0.17,69.5
2025-04-30,4,51.67,78.33,69.5,-7.17,62.33
2025-05-01,5,47.5,92.0,62.33,1.17,63.5
2025-05-02,5,46.67,79.0,63.5,-5.17,58.33
2025-05-03,5,35.0,50.0,58.33,-15.83,42.5
2025-05-05,5,33.33,72.67,42.5,-0.83,41.67
2025-05-06,5,35.0,67.0,41.67,1.67,43.33
2025-05-07,5,30.0,56.0,43.33,-5.67,37.67
2025-05-08,5,24.33,51.0,37.67,-4.33,33.33
2025-05-09,5,21.67,46.67,33.33,-3.0,30.33
2025-05-10,5,23.33,53.0,30.33,4.33,34.67
2025-05-12,5,31.67,60.0,34.67,7.0,41.67
2025-05-13,5,36.67,65.67,41.67,5.67,47.33
2025-05-14,5,33.33,62.0,47.33,-5.67,41.67
2025-05-15,5,31.67,58.0,41.67,1.67,43.33
2025-05-16,5,31.67,55.0,43.33,-4.33,39.0
2025-05-17,5,30.67,49.67,39.0,-3.0,36.0
2025-05-19,5,20.0,37.33,36.0,-7.67,28.33
2025-05-20,5,17.33,30.0,28.33,-7.67,20.67
2025-05-21,5,18.0,30.0,20.67,1.0,21.67
2025-05-22,5,17.67,29.0,21.67,-0.33,21.33
2025-05-23,5,21.0,39.0,21.33,6.67,28.0
2025-05-24,5,30.0,40.5,28.0,6.5,34.5
2025-05-25,5,21.0,45.0,34.5,-4.5,30.0
2025-05-26,5,20.0,30.0,30.0,-5.0,25.0
2025-05-27,5,13.67,27.33,25.0,-6.67,18.33
2025-05-28,5,12.33,20.67,18.33,-3.0,15.33
2025-05-29,5,11.67,24.0,15.33,0.67,16.0
2025-05-30,5,15.0,27.33,16.0,2.67,18.67
2025-05-31,5,15.67,26.67,18.67,0.33,19.0
2025-06-02,6,17.33,29.33,19.0,4.0,23.0
2025-06-03,6,16.0,27.0,23.0,-1.33,21.67
2025-06-04,6,11.33,23.33,21.67,-6.33,15.33
2025-06-05,6,9.33,19.67,15.33,-2.0,13.33
2025-06-06,6,12.0,18.0,13.33,1.67,15.0
2025-06-07,6,11.0,20.0,15.0,0.5,15.5
2025-06-08,6,9.0,27.0,15.5,0.5,16.0
2025-06-09,6,13.0,23.33,16.0,1.33,17.33
2025-06-10,6,16.67,28.67,17.33,4.67,22.0
2025-06-11,6,16.33,26.0,22.0,-0.33,21.67
2025-06-12,6,17.67,28.67,21.67,1.67,23.33
2025-06-13,6,17.33,29.0,23.33,0.0,23.33
2025-06-14,6,17.5,25.5,23.33,-1.83,21.5
2025-06-16,6,13.0,25.33,21.5,-3.17,18.33
