Price Date,Month,Min Price,Max Price,Prev Price,Price Change,Modal Price
2025-05-04,5,45.0,75.0,50.0,5.0,55.0
2025-05-05,5,70.0,85.0,55.0,25.0,80.0
2025-05-06,5,17.67,35.0,80.0,-56.67,23.33
2025-05-07,5,19.0,36.0,23.33,4.0,27.33
2025-05-08,5,18.33,35.67,27.33,-2.33,25.0
2025-05-09,5,21.67,32.33,25.0,2.33,27.33
2025-05-10,5,21.67,29.33,27.33,-1.67,25.67
2025-05-11,5,21.67,33.67,25.67,5.0,30.67
2025-05-12,5,19.0,32.33,30.67,-4.0,26.67
2025-05-13,5,15.0,30.33,26.67,-5.67,21.0
2025-05-14,5,11.67,28.33,21.0,-1.0,20.0
2025-05-15,5,16.67,35.0,20.0,4.0,24.0
2025-05-16,5,18.33,33.33,24.0,1.0,25.0
2025-05-17,5,18.33,33.33,25.0,-1.67,23.33
2025-05-18,5,15.0,30.25,23.33,-2.58,20.75
2025-05-19,5,16.7,25.0,20.75,2.5,23.25
2025-05-20,5,20.29,28.86,23.25,1.46,24.71
2025-05-21,5,17.1,26.5,24.71,-3.66,21.05
2025-05-22,5,16.56,26.67,21.05,-0.05,21.0
2025-05-23,5,17.67,27.0,21.0,2.11,23.11
2025-05-24,5,17.44,25.0,23.11,-2.22,20.89
2025-05-25,5,18.29,28.14,20.89,1.68,22.57
2025-05-26,5,17.44,26.22,22.57,-0.9,21.67
2025-05-27,5,17.78,25.78,21.67,0.33,22.0
2025-05-28,5,16.67,25.67,22.0,-0.94,21.06
2025-05-29,5,17.11,24.67,21.06,0.22,21.28
2025-05-30,5,14.0,27.14,21.28,-0.21,21.07
2025-05-31,5,16.78,24.89,21.07,-0.52,20.56
2025-06-01,6,17.0,28.6,20.56,3.64,24.2
2025-06-02,6,16.33,25.0,24.2,-3.45,20.75
2025-06-03,6,15.33,26.78,20.75,0.19,20.94
2025-06-04,6,15.88,25.88,20.94,0.81,21.75
2025-06-05,6,14.6,23.7,21.75,-2.1,19.65
2025-06-06,6,13.22,23.0,19.65,-1.26,18.39
2025-06-07,6,11.29,22.14,18.39,-1.96,16.43
2025-06-08,6,11.29,24.0,16.43,0.71,17.14
2025-06-09,6,13.0,23.75,17.14,0.67,17.81
2025-06-10,6,14.0,24.9,17.81,2.39,20.2
2025-06-11,6,15.2,23.7,20.2,-1.0,19.2
2025-06-12,6,13.71,23.0,19.2,-0.99,18.21
2025-06-13,6,14.1,23.0,18.21,-0.01,18.2
2025-06-14,6,19.4,24.2,18.2,3.2,21.4
2025-06-15,6,19.2,24.4,21.4,0.2,21.6
2025-06-16,6,18.38,23.62,21.6,-0.79,20.81
2025-06-17,6,17.8,25.3,20.81,0.34,21.15
2025-06-18,6,18.1,25.05,21.15,0.6,21.75
2025-06-19,6,17.3,24.1,21.75,-1.2,20.55
2025-06-20,6,17.22,24.89,20.55,0.45,21.0
2025-06-21,6,16.36,23.82,21.0,-0.64,20.36
2025-06-22,6,14.9,22.2,20.36,-1.66,18.7
2025-06-23,6,17.78,25.33,18.7,3.13,21.83
2025-06-24,6,17.2,23.0,21.83,-1.58,20.25
2025-06-25,6,16.11,21.67,20.25,-1.25,19.0
2025-06-26,6,17.86,21.71,19.0,0.86,19.86
2025-06-27,6,13.5,17.5,19.86,-4.44,15.42
2025-06-28,6,15.71,21.14,15.42,3.23,18.64
2025-06-29,6,19.25,24.5,18.64,3.36,22.0
2025-06-30,6,15.12,21.62,22.0,-3.69,18.31
2025-07-01,7,15.62,21.75,18.31,0.38,18.69
2025-07-02,7,9.0,13.0,18.69,-7.56,11.12
2025-07-03,7,9.0,13.0,11.12,0.0,11.12
2025-07-04,7,14.5,20.0,11.12,6.12,17.25
2025-07-05,7,14.5,20.0,17.25,0.0,17.25
2025-07-06,7,4.0,8.5,17.25,-10.25,7.0
2025-07-07,7,9.25,14.25,7.0,5.12,12.12
2025-07-08,7,15.29,21.43,12.12,6.23,18.36
2025-07-09,7,16.0,22.4,18.36,1.84,20.2
2025-07-10,7,15.6,21.4,20.2,-1.0,19.2
2025-07-11,7,12.0,18.75,19.2,-3.95,15.25
2025-07-12,7,6.0,9.5,15.25,-7.25,8.0
2025-07-13,7,6.0,9.5,8.0,0.25,8.25
2025-07-14,7,6.0,9.5,8.25,-0.25,8.0
2025-07-15,7,10.5,15.5,8.0,5.25,13.25
2025-07-16,7,13.8,18.0,13.25,2.75,16.0
2025-07-17,7,12.0,16.0,16.0,-1.6,14.4
2025-07-18,7,6.0,9.5,14.4,-6.4,8.0
