Price Date,Month,Min Price,Max Price,Prev Price,Price Change,Modal Price
2025-01-07,1,10.45,30.19,24.59,-0.74,23.85
2025-01-08,1,15.89,27.69,23.85,-1.35,22.5
2025-01-09,1,11.05,24.59,22.5,-3.65,18.85
2025-01-10,1,6.29,24.1,18.85,-2.6,16.25
2025-01-11,1,5.38,24.69,16.25,0.14,16.39
2025-01-15,1,40.0,45.0,16.39,25.61,42.0
2025-01-16,1,26.3,34.3,42.0,-9.2,32.8
2025-01-17,1,9.67,25.89,32.8,-14.85,17.95
2025-01-18,1,12.37,26.51,17.95,5.94,23.89
2025-01-20,1,8.17,25.89,23.89,-1.52,22.37
2025-01-21,1,15.45,26.09,22.37,-3.92,18.45
2025-01-22,1,22.82,30.56,18.45,9.89,28.34
2025-01-23,1,24.9,35.33,28.34,3.21,31.54
2025-01-24,1,27.68,37.54,31.54,4.03,35.58
2025-01-25,1,21.44,32.3,35.58,-5.13,30.44
2025-01-26,1,35.0,40.0,30.44,7.56,38.0
2025-01-27,1,19.0,32.65,38.0,-9.82,28.18
2025-01-28,1,21.1,31.84,28.18,-1.25,26.94
2025-01-29,1,35.0,40.0,26.94,11.07,38.0
2025-01-30,1,21.44,31.64,38.0,-11.45,26.55
2025-01-31,1,18.52,31.36,26.55,-0.9,25.65
2025-02-01,2,22.62,30.9,25.65,-0.21,25.44
2025-02-02,2,30.0,35.0,25.44,6.57,32.0
2025-02-03,2,17.72,31.54,32.0,-6.28,25.72
2025-02-04,2,17.54,28.3,25.72,-2.97,22.75
2025-02-05,2,19.78,28.75,22.75,1.34,24.1
2025-02-06,2,18.59,29.3,24.1,-0.14,23.96
2025-02-07,2,17.58,29.06,23.96,1.09,25.04
2025-02-08,2,17.58,29.74,25.04,3.2,28.24
2025-02-09,2,30.0,35.0,28.24,3.75,32.0
2025-02-10,2,21.47,31.2,32.0,-4.16,27.84
2025-02-11,2,23.12,33.44,27.84,-0.62,27.22
2025-02-12,2,24.18,33.84,27.22,1.84,29.07
2025-02-13,2,18.3,32.1,29.07,1.02,30.1
2025-02-14,2,23.26,33.02,30.1,-2.07,28.02
2025-02-15,2,23.14,32.7,28.02,0.68,28.7
2025-02-17,2,9.27,26.99,28.7,-4.8,23.89
2025-02-18,2,6.02,32.32,23.89,-6.75,17.14
2025-02-19,2,6.82,28.21,17.14,7.55,24.69
2025-02-20,2,6.59,26.0,24.69,-7.99,16.7
2025-02-21,2,8.17,25.39,16.7,-1.1,15.6
2025-02-22,2,8.42,28.29,15.6,6.54,22.14
2025-02-24,2,7.01,25.61,22.14,-2.0,20.14
2025-02-25,2,7.85,26.44,20.14,-3.27,16.87
2025-02-28,2,8.32,27.29,16.87,1.44,18.31
2025-03-01,3,8.42,26.71,18.31,2.6,20.91
2025-03-03,3,6.87,28.0,20.91,1.98,22.89
2025-03-04,3,11.66,26.89,22.89,-5.29,17.6
2025-03-05,3,6.59,24.89,17.6,-0.39,17.21
2025-03-06,3,7.45,22.59,17.21,-1.36,15.85
2025-03-07,3,5.67,19.89,15.85,-1.45,14.4
2025-03-08,3,5.06,19.21,14.4,-1.5,12.9
2025-03-10,3,5.17,15.37,12.9,-1.03,11.87
2025-03-11,3,5.17,14.89,11.87,-3.27,8.6
2025-03-12,3,5.17,14.19,8.6,1.35,9.95
2025-03-13,3,4.99,14.82,9.95,2.92,12.87
2025-03-15,3,5.85,14.09,12.87,-5.43,7.44
2025-03-17,3,6.15,15.29,7.44,3.91,11.35
2025-03-18,3,8.39,15.91,11.35,-0.3,11.05
2025-03-19,3,4.99,16.4,11.05,1.8,12.85
2025-03-20,3,7.45,16.58,12.85,-1.35,11.5
2025-03-21,3,9.35,15.92,11.5,0.05,11.55
2025-03-24,3,5.54,16.59,11.55,-2.6,8.95
2025-03-25,3,6.12,16.6,8.95,3.59,12.54
2025-03-26,3,6.52,15.91,12.54,-0.92,11.62
2025-03-27,3,6.12,14.19,11.62,-0.72,10.9
