Price Date,Month,Min Price,Max Price,Prev Price,Price Change,Modal Price
2025-01-24,1,43.0,45.5,45.25,-1.0,44.25
2025-01-25,1,43.5,45.5,44.25,0.25,44.5
2025-01-26,1,43.5,45.5,44.5,0.0,44.5
2025-01-27,1,44.0,46.0,44.5,0.5,45.0
2025-01-28,1,43.0,45.0,45.0,-1.0,44.0
2025-01-29,1,43.0,44.0,44.0,-0.5,43.5
2025-01-30,1,43.0,45.25,43.5,0.5,44.0
2025-01-31,1,43.25,45.5,44.0,0.25,44.25
2025-02-01,2,44.0,46.0,44.25,0.75,45.0
2025-02-02,2,44.0,46.0,45.0,0.0,45.0
2025-02-03,2,44.0,46.0,45.0,0.0,45.0
2025-02-04,2,44.0,46.0,45.0,0.0,45.0
2025-02-05,2,44.0,46.25,45.0,0.0,45.0
2025-02-06,2,44.5,46.25,45.0,0.5,45.5
2025-02-07,2,44.0,46.0,45.5,-0.5,45.0
2025-02-08,2,43.5,45.5,45.0,-0.5,44.5
2025-02-09,2,44.0,46.0,44.5,0.5,45.0
2025-02-10,2,44.0,46.0,45.0,0.0,45.0
2025-02-11,2,44.0,46.5,45.0,0.0,45.0
2025-02-12,2,43.5,45.5,45.0,-0.5,44.5
2025-02-13,2,43.5,46.0,44.5,0.25,44.75
2025-02-14,2,44.0,46.0,44.75,0.25,45.0
2025-02-17,2,44.0,46.0,45.0,0.0,45.0
2025-02-18,2,44.0,46.0,45.0,0.0,45.0
2025-02-19,2,44.0,46.0,45.0,0.0,45.0
2025-02-20,2,43.5,46.0,45.0,-0.5,44.5
2025-02-21,2,44.0,46.5,44.5,0.5,45.0
2025-02-22,2,44.0,46.0,45.0,0.0,45.0
2025-02-23,2,44.0,46.0,45.0,0.0,45.0
2025-02-24,2,44.0,46.0,45.0,0.0,45.0
2025-02-26,2,43.5,45.5,45.0,-0.5,44.5
2025-02-27,2,44.5,46.5,44.5,1.0,45.5
2025-02-28,2,44.0,46.0,45.5,-0.5,45.0
2025-03-01,3,44.5,46.5,45.0,0.5,45.5
2025-03-02,3,45.0,47.0,45.5,0.5,46.0
2025-03-04,3,44.5,47.0,46.0,-0.5,45.5
2025-03-05,3,45.0,47.0,45.5,0.5,46.0
2025-03-06,3,44.0,46.0,46.0,-1.0,45.0
2025-03-07,3,44.25,46.5,45.0,0.25,45.25
2025-03-08,3,44.0,45.75,45.25,-0.5,44.75
2025-03-09,3,44.0,46.0,44.75,0.25,45.0
2025-03-10,3,44.0,46.0,45.0,0.0,45.0
2025-03-11,3,44.0,46.0,45.0,0.0,45.0
2025-03-12,3,44.0,46.0,45.0,0.0,45.0
2025-03-13,3,44.0,46.0,45.0,0.0,45.0
2025-03-14,3,44.0,46.0,45.0,0.0,45.0
2025-03-15,3,44.0,46.0,45.0,0.0,45.0
2025-03-16,3,44.0,46.0,45.0,0.0,45.0
2025-03-17,3,44.0,46.5,45.0,0.25,45.25
2025-03-18,3,44.0,46.5,45.25,-0.25,45.0
2025-03-19,3,44.0,46.0,45.0,0.0,45.0
2025-03-20,3,44.25,46.5,45.0,0.25,45.25
2025-03-21,3,44.0,46.5,45.25,-0.25,45.0
2025-03-22,3,46.0,48.0,45.0,2.0,47.0
2025-03-23,3,46.0,48.0,47.0,0.0,47.0
2025-03-24,3,46.0,48.0,47.0,0.0,47.0
2025-03-25,3,46.0,48.0,47.0,0.0,47.0
2025-03-26,3,46.0,48.0,47.0,0.0,47.0
2025-03-27,3,46.0,48.0,47.0,0.0,47.0
2025-03-28,3,46.0,48.0,47.0,0.0,47.0
2025-03-29,3,46.0,48.0,47.0,0.0,47.0
2025-04-01,4,45.0,47.0,47.0,-1.0,46.0
2025-04-02,4,45.5,47.5,46.0,0.5,46.5
2025-04-03,4,46.0,48.0,46.5,0.5,47.0
2025-04-04,4,46.0,48.0,47.0,0.0,47.0
2025-04-05,4,46.0,48.0,47.0,0.0,47.0
2025-04-06,4,46.0,48.0,47.0,0.0,47.0
2025-04-07,4,46.0,48.0,47.0,0.0,47.0
2025-04-08,4,46.0,48.5,47.0,0.0,47.0
2025-04-09,4,46.0,48.5,47.0,0.0,47.0
2025-04-10,4,45.0,48.25,47.0,-0.75,46.25
2025-04-11,4,46.0,48.5,46.25,0.75,47.0
2025-04-14,4,46.0,48.5,47.0,0.0,47.0
2025-04-15,4,46.0,48.0,47.0,0.0,47.0
2025-04-16,4,46.0,48.0,47.0,0.0,47.0
2025-04-18,4,46.0,48.0,47.0,0.0,47.0
2025-04-19,4,45.5,48.0,47.0,0.0,47.0
2025-04-20,4,46.0,48.0,47.0,0.0,47.0
2025-04-21,4,44.5,47.0,47.0,-1.5,45.5
2025-04-22,4,44.0,47.0,45.5,0.0,45.5
2025-04-23,4,46.0,48.0,45.5,1.5,47.0
2025-04-24,4,43.0,45.5,47.0,-3.0,44.0
2025-04-25,4,44.0,47.0,44.0,1.5,45.5
2025-04-26,4,46.0,48.0,45.5,1.5,47.0
2025-04-28,4,45.0,47.0,47.0,-1.0,46.0
2025-04-29,4,44.0,46.25,46.0,-1.0,45.0
2025-04-30,4,45.0,47.0,45.0,1.0,46.0
2025-05-01,5,44.0,46.0,46.0,-1.0,45.0
2025-05-02,5,45.0,47.0,45.0,1.0,46.0
2025-05-03,5,44.5,46.5,46.0,-0.5,45.5
2025-05-05,5,45.0,47.0,45.5,0.5,46.0
2025-05-06,5,44.0,47.25,46.0,-0.25,45.75
2025-05-07,5,44.0,46.75,45.75,-0.25,45.5
2025-05-08,5,45.0,48.0,45.5,1.0,46.5
2025-05-09,5,44.0,47.0,46.5,-1.0,45.5
2025-05-10,5,44.0,47.0,45.5,0.0,45.5
2025-05-11,5,45.0,46.75,45.5,0.25,45.75
2025-05-12,5,45.0,47.5,45.75,0.5,46.25
2025-05-13,5,43.0,46.5,46.25,-1.75,44.5
2025-05-14,5,43.0,46.0,44.5,0.0,44.5
2025-05-15,5,44.0,47.0,44.5,1.0,45.5
2025-05-16,5,43.0,46.25,45.5,-1.0,44.5
2025-05-17,5,45.0,47.75,44.5,2.0,46.5
2025-05-19,5,45.0,47.5,46.5,-0.5,46.0
2025-05-20,5,44.0,47.0,46.0,-0.5,45.5
2025-05-21,5,44.5,47.0,45.5,0.25,45.75
2025-05-22,5,45.0,47.75,45.75,0.75,46.5
2025-05-23,5,45.0,47.75,46.5,0.0,46.5
2025-05-26,5,44.0,47.0,46.5,-1.0,45.5
2025-05-27,5,45.0,47.5,45.5,0.5,46.0
2025-05-28,5,45.0,47.5,46.0,0.5,46.5
2025-05-29,5,44.0,47.0,46.5,-1.0,45.5
2025-05-30,5,45.0,47.5,45.5,1.0,46.5
2025-05-31,5,45.0,47.75,46.5,0.0,46.5
2025-06-02,6,45.0,47.75,46.5,0.0,46.5
2025-06-03,6,45.0,47.5,46.5,-0.25,46.25
2025-06-04,6,45.0,47.75,46.25,0.25,46.5
2025-06-05,6,45.0,47.5,46.5,-0.5,46.0
2025-06-06,6,46.0,48.25,46.0,1.0,47.0
2025-06-09,6,45.0,47.75,47.0,-0.5,46.5
2025-06-10,6,45.0,47.5,46.5,0.0,46.5
2025-06-11,6,45.0,48.0,46.5,0.0,46.5
2025-06-13,6,44.5,47.75,46.5,-0.25,46.25
2025-06-16,6,45.0,47.75,46.25,0.25,46.5
2025-06-17,6,45.0,48.0,46.5,0.0,46.5
2025-06-18,6,45.0,48.0,46.5,0.0,46.5
2025-06-19,6,44.5,47.5,46.5,-0.5,46.0
2025-06-20,6,45.5,48.25,46.0,0.75,46.75
2025-06-21,6,45.0,48.0,46.75,-0.25,46.5
2025-06-23,6,45.0,48.0,46.5,0.0,46.5
2025-06-24,6,45.0,48.0,46.5,0.0,46.5
2025-06-25,6,46.0,48.5,46.5,0.75,47.25
2025-06-26,6,45.0,48.0,47.25,-0.75,46.5
2025-06-27,6,45.5,48.5,46.5,0.0,46.5
2025-06-28,6,46.0,48.25,46.5,0.5,47.0
2025-06-30,6,44.0,46.5,47.0,-2.0,45.0
2025-07-01,7,45.0,47.75,45.0,1.5,46.5
2025-07-02,7,45.0,47.5,46.5,-0.5,46.0
2025-07-03,7,43.5,46.75,46.0,-1.0,45.0
2025-07-04,7,44.0,47.0,45.0,0.5,45.5
2025-07-05,7,44.5,47.25,45.5,0.5,46.0
2025-07-07,7,44.5,47.5,46.0,0.0,46.0
2025-07-09,7,43.0,46.0,46.0,-1.5,44.5
2025-07-10,7,45.0,47.75,44.5,2.0,46.5
2025-07-11,7,44.0,47.0,46.5,-1.0,45.5
2025-07-14,7,43.0,46.0,45.5,-1.0,44.5
2025-07-15,7,44.5,47.25,44.5,1.5,46.0
2025-07-16,7,43.0,46.5,46.0,-1.5,44.5
2025-07-17,7,44.0,47.0,44.5,1.0,45.5
2025-07-18,7,43.0,46.0,45.5,-1.0,44.5
2025-07-19,7,44.5,47.5,44.5,1.5,46.0
2025-07-21,7,43.0,46.0,46.0,-1.5,44.5
2025-07-22,7,43.0,46.0,44.5,0.0,44.5
2025-07-23,7,43.0,46.0,44.5,0.0,44.5
2025-07-24,7,43.0,46.0,44.5,0.0,44.5
2025-07-25,7,45.0,47.75,44.5,2.0,46.5
2025-07-26,7,45.0,47.75,46.5,0.0,46.5
2025-07-28,7,45.0,47.75,46.5,0.0,46.5
2025-07-29,7,43.0,46.0,46.5,-2.0,44.5
2025-07-30,7,43.0,46.0,44.5,0.0,44.5
2025-07-31,7,45.0,48.0,44.5,2.0,46.5
2025-08-01,8,43.0,46.0,46.5,-2.0,44.5
2025-08-02,8,44.0,47.0,44.5,1.0,45.5
2025-08-04,8,44.0,47.0,45.5,0.0,45.5
2025-08-05,8,44.0,47.0,45.5,0.0,45.5
2025-08-06,8,45.0,47.75,45.5,1.0,46.5
2025-08-07,8,44.0,47.25,46.5,-1.0,45.5
2025-08-09,8,44.0,47.0,45.5,0.0,45.5
