Price Date,Month,Min Price,Max Price,Prev Price,Price Change,Modal Price
2025-01-02,1,9.92,16.0,15.5,-2.3,13.2
2025-01-03,1,9.06,15.86,13.2,-0.08,13.12
2025-01-04,1,9.0,14.5,13.12,-1.12,12.0
2025-01-05,1,9.0,14.0,12.0,0.15,12.15
2025-01-06,1,9.04,15.24,12.15,0.11,12.26
2025-01-07,1,9.32,14.36,12.26,-0.6,11.66
2025-01-08,1,8.85,13.3,11.66,-0.26,11.4
2025-01-09,1,9.32,13.28,11.4,-0.15,11.25
2025-01-10,1,9.07,13.32,11.25,-0.25,11.0
2025-01-11,1,11.0,22.0,11.0,6.0,17.0
2025-01-14,1,8.0,14.0,17.0,-6.0,11.0
2025-01-15,1,9.0,14.33,11.0,0.67,11.67
2025-01-16,1,9.5,15.5,11.67,0.98,12.65
2025-01-17,1,12.82,19.0,12.65,3.22,15.88
2025-01-18,1,11.85,16.75,15.88,-1.62,14.25
2025-01-19,1,11.0,15.33,14.25,-0.72,13.53
2025-01-20,1,10.0,14.82,13.53,-1.03,12.5
2025-01-21,1,10.5,15.75,12.5,1.0,13.5
2025-01-22,1,11.19,16.44,13.5,0.41,13.91
2025-01-23,1,12.08,16.9,13.91,0.92,14.84
2025-01-24,1,11.09,15.92,14.84,-1.09,13.75
2025-01-25,1,11.36,16.45,13.75,0.25,14.0
2025-01-26,1,11.46,16.05,14.0,-0.12,13.88
2025-01-27,1,12.96,18.5,13.88,1.99,15.86
2025-01-28,1,13.28,19.26,15.86,0.41,16.27
2025-01-29,1,14.11,19.38,16.27,0.55,16.82
2025-01-30,1,13.75,18.71,16.82,-0.49,16.34
2025-01-31,1,13.36,19.0,16.34,0.05,16.39
2025-02-01,2,12.84,18.45,16.39,-0.67,15.71
2025-02-02,2,14.14,19.81,15.71,1.53,17.24
2025-02-03,2,13.17,19.0,17.24,-1.0,16.24
2025-02-04,2,13.29,18.87,16.24,0.03,16.27
2025-02-05,2,13.39,19.14,16.27,0.16,16.43
2025-02-06,2,14.25,19.51,16.43,0.67,17.1
2025-02-07,2,14.53,20.39,17.1,0.36,17.46
2025-02-08,2,13.84,18.91,17.46,-0.89,16.56
2025-02-09,2,14.0,19.0,16.56,0.05,16.61
2025-02-10,2,13.59,18.61,16.61,-0.36,16.25
2025-02-11,2,13.1,18.13,16.25,-0.54,15.71
2025-02-12,2,11.29,15.79,15.71,-2.0,13.71
2025-02-13,2,10.25,14.05,13.71,-1.46,12.25
2025-02-14,2,10.16,14.58,12.25,0.21,12.46
2025-02-15,2,10.04,14.57,12.46,0.11,12.57
2025-02-16,2,11.71,16.16,12.57,1.67,14.24
2025-02-17,2,11.62,16.42,14.24,-0.13,14.12
2025-02-18,2,11.27,15.7,14.12,-0.43,13.68
2025-02-19,2,10.26,14.7,13.68,-0.96,12.72
2025-02-20,2,9.42,13.13,12.72,-1.37,11.35
2025-02-21,2,9.08,12.07,11.35,-0.48,10.87
2025-02-22,2,9.28,12.76,10.87,0.65,11.52
2025-02-23,2,9.48,12.9,11.52,-0.42,11.1
2025-02-24,2,9.66,12.96,11.1,-0.04,11.06
2025-02-25,2,9.4,12.23,11.06,-0.29,10.77
2025-02-26,2,8.9,11.67,10.77,-0.4,10.37
2025-02-27,2,8.49,11.4,10.37,-0.42,9.94
2025-02-28,2,9.16,12.23,9.94,0.59,10.53
2025-03-01,3,9.4,12.25,10.53,0.3,10.83
2025-03-02,3,9.2,12.44,10.83,-0.03,10.8
2025-03-03,3,9.23,12.38,10.8,-0.03,10.77
2025-03-04,3,9.0,12.07,10.77,-0.33,10.43
2025-03-05,3,9.1,11.78,10.43,-0.07,10.37
2025-03-06,3,9.1,11.84,10.37,0.19,10.56
2025-03-07,3,7.89,10.73,10.56,-1.1,9.46
2025-03-08,3,8.95,11.55,9.46,0.89,10.35
2025-03-09,3,8.68,11.27,10.35,-0.17,10.18
2025-03-10,3,8.53,11.08,10.18,-0.2,9.98
2025-03-11,3,8.87,11.98,9.98,0.53,10.52
2025-03-12,3,8.65,11.45,10.52,-0.25,10.27
2025-03-13,3,8.52,10.83,10.27,-0.42,9.85
2025-03-14,3,8.43,10.87,9.85,0.03,9.88
2025-03-15,3,8.68,10.93,9.88,-0.02,9.87
2025-03-16,3,8.77,11.32,9.87,0.18,10.05
2025-03-17,3,8.77,11.33,10.05,0.2,10.25
2025-03-18,3,8.65,11.18,10.25,-0.15,10.1
2025-03-19,3,8.47,10.82,10.1,-0.3,9.8
2025-03-20,3,8.67,11.05,9.8,0.03,9.83
2025-03-21,3,8.19,10.48,9.83,-0.47,9.37
2025-03-22,3,8.6,11.0,9.37,0.53,9.9
2025-03-23,3,8.4,10.72,9.9,-0.16,9.74
2025-03-24,3,8.03,10.57,9.74,-0.16,9.58
2025-03-25,3,8.2,10.42,9.58,-0.13,9.45
2025-03-26,3,8.17,10.7,9.45,0.25,9.7
2025-03-27,3,7.93,10.28,9.7,-0.4,9.3
2025-03-28,3,8.03,10.48,9.3,0.18,9.48
2025-03-29,3,8.24,10.44,9.48,0.06,9.54
2025-03-30,3,9.6,13.83,9.54,2.19,11.73
2025-03-31,3,11.43,16.62,11.73,2.6,14.33
2025-04-01,4,10.4,14.38,14.33,-1.81,12.52
2025-04-02,4,9.28,11.43,12.52,-2.1,10.42
2025-04-03,4,9.05,11.37,10.42,-0.18,10.23
2025-04-04,4,8.8,11.33,10.23,-0.13,10.1
2025-04-05,4,8.96,11.24,10.1,0.1,10.2
2025-04-06,4,9.2,11.43,10.2,0.09,10.29
2025-04-07,4,8.8,11.63,10.29,0.07,10.36
2025-04-08,4,9.26,11.39,10.36,0.03,10.39
2025-04-09,4,9.81,12.33,10.39,0.91,11.3
2025-04-10,4,10.27,13.06,11.3,0.73,12.03
2025-04-11,4,10.26,13.13,12.03,-0.19,11.84
2025-04-12,4,10.34,13.08,11.84,0.04,11.88
2025-04-13,4,9.86,12.34,11.88,-0.6,11.28
2025-04-14,4,9.89,12.34,11.28,-0.12,11.16
2025-04-15,4,9.51,11.76,11.16,-0.56,10.6
2025-04-16,4,9.23,11.21,10.6,-0.21,10.39
2025-04-17,4,8.9,10.86,10.39,-0.37,10.01
2025-04-18,4,8.5,10.8,10.01,-0.33,9.69
2025-04-19,4,8.84,11.14,9.69,0.34,10.03
2025-04-20,4,9.8,11.63,10.03,0.72,10.75
2025-04-21,4,9.11,11.51,10.75,-0.42,10.33
2025-04-22,4,9.07,11.36,10.33,-0.14,10.19
2025-04-23,4,8.79,11.03,10.19,-0.16,10.03
2025-04-24,4,8.53,10.73,10.03,-0.26,9.77
2025-04-25,4,8.41,10.46,9.77,-0.27,9.5
2025-04-26,4,8.39,10.34,9.5,-0.07,9.43
2025-04-27,4,8.3,10.23,9.43,-0.1,9.33
2025-04-28,4,8.6,10.57,9.33,0.36,9.69
2025-04-29,4,8.47,10.66,9.69,-0.01,9.67
2025-04-30,4,8.47,10.41,9.67,-0.19,9.49
2025-05-01,5,7.8,9.69,9.49,-0.66,8.83
2025-05-02,5,7.89,9.6,8.83,-0.04,8.79
2025-05-03,5,7.8,9.47,8.79,-0.14,8.64
2025-05-04,5,7.83,9.48,8.64,0.09,8.73
2025-05-05,5,7.77,9.12,8.73,-0.22,8.52
2025-05-06,5,7.94,9.6,8.52,0.31,8.83
2025-05-07,5,7.86,9.33,8.83,-0.24,8.59
2025-05-08,5,7.14,8.77,8.59,-0.67,7.91
2025-05-09,5,7.5,9.09,7.91,0.41,8.33
2025-05-10,5,7.6,9.5,8.33,0.3,8.63
2025-05-11,5,7.27,9.17,8.63,-0.29,8.34
2025-05-12,5,7.54,9.4,8.34,0.14,8.49
2025-05-13,5,7.51,9.33,8.49,0.03,8.51
2025-05-14,5,7.53,9.34,8.51,-0.03,8.49
2025-05-15,5,7.13,8.81,8.49,-0.51,7.97
2025-05-16,5,6.93,8.7,7.97,-0.07,7.9
2025-05-17,5,7.34,8.96,7.9,0.24,8.14
2025-05-18,5,7.43,8.83,8.14,-0.04,8.1
2025-05-19,5,8.51,10.41,8.1,1.34,9.44
2025-05-20,5,8.4,10.57,9.44,0.17,9.61
2025-05-21,5,8.19,10.04,9.61,-0.46,9.16
2025-05-22,5,7.59,9.41,9.16,-0.64,8.51
2025-05-23,5,7.91,9.97,8.51,0.73,9.24
2025-05-24,5,7.55,9.97,9.24,-0.38,8.87
2025-05-25,5,8.47,10.53,8.87,0.72,9.58
2025-05-26,5,8.43,10.39,9.58,-0.03,9.56
2025-05-27,5,8.11,10.0,9.56,-0.34,9.21
2025-05-28,5,7.79,9.44,9.21,-0.56,8.66
2025-05-29,5,7.97,9.69,8.66,0.24,8.9
2025-05-30,5,7.91,9.96,8.9,0.26,9.16
2025-05-31,5,7.67,9.66,9.16,-0.44,8.71
2025-06-01,6,8.14,10.24,8.71,0.77,9.48
2025-06-02,6,9.76,12.69,9.48,1.73,11.21
2025-06-03,6,11.86,16.01,11.21,2.44,13.66
2025-06-04,6,12.81,16.5,13.66,0.99,14.64
2025-06-05,6,11.14,15.9,14.64,-0.51,14.13
2025-06-06,6,11.1,14.39,14.13,-1.24,12.89
2025-06-07,6,10.46,13.93,12.89,-0.46,12.43
2025-06-08,6,10.5,14.7,12.43,0.17,12.6
2025-06-09,6,16.14,20.33,12.6,5.83,18.43
2025-06-10,6,18.08,23.08,18.43,2.29,20.72
2025-06-11,6,18.43,23.09,20.72,0.25,20.97
2025-06-12,6,16.24,20.12,20.97,-2.44,18.53
2025-06-13,6,16.67,20.77,18.53,0.66,19.19
