,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,06-11-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,05-11-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,000.00","10,000.00","8,500.00",Rs./Quintal,04-11-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,000.00","10,000.00","8,000.00",Rs./Quintal,03-11-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,01-11-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,31-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,30-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,28-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,27-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,25-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,24-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,23-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,22-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,21-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,18-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,17-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,16-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,15-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,13-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,10-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,08-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,07-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,06-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,04-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,01-10-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,29-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,27-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,26-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,25-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,24-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,509.00","10,000.00","8,500.00",Rs./Quintal,23-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,22-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,20-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,19-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,18-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,17-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,16-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,15-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,12-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,11-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,10-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,09-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,08-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,06-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,04-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,03-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,02-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,01-09-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"8,000.00","10,000.00","9,000.00",Rs./Quintal,30-08-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,29-08-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,28-08-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,26-08-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,24-08-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,23-08-2025
Andhra Pradesh,Chittor,Tirupati APMC,Fruits,Banana,Bhushavali(Pacha),Small,"7,500.00","10,000.00","8,500.00",Rs./Quintal,22-08-2025
