,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,400.00","1,200.00",Rs./Quintal,31-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,400.00","1,200.00",Rs./Quintal,30-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,200.00","1,000.00",Rs./Quintal,29-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,900.00,"1,500.00","1,100.00",Rs./Quintal,27-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,500.00","1,200.00",Rs./Quintal,26-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,500.00","1,200.00",Rs./Quintal,25-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,500.00","1,200.00",Rs./Quintal,24-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,000.00","1,800.00","1,400.00",Rs./Quintal,22-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,000.00","2,000.00","1,500.00",Rs./Quintal,21-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,200.00","1,600.00","1,400.00",Rs./Quintal,20-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,200.00","1,600.00","1,400.00",Rs./Quintal,19-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,200.00","2,200.00","1,600.00",Rs./Quintal,18-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,200.00","2,000.00","1,600.00",Rs./Quintal,17-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,700.00","2,300.00","2,000.00",Rs./Quintal,16-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"2,200.00","2,800.00","2,600.00",Rs./Quintal,15-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,500.00","1,000.00",Rs./Quintal,12-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,400.00","2,200.00","1,800.00",Rs./Quintal,11-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,500.00","2,500.00","2,000.00",Rs./Quintal,10-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,"1,500.00","2,500.00","2,000.00",Rs./Quintal,09-12-2025
Andhra Pradesh,Chittor,Palamaner APMC,Vegetables,Cauliflower,Cauliflower,FAQ,800.00,"1,500.00","1,200.00",Rs./Quintal,08-12-2025
