,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,"1,000.00","2,200.00","1,400.00",Rs./Quintal,31-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,"1,200.00","2,800.00","1,700.00",Rs./Quintal,30-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,"1,300.00","2,300.00","1,700.00",Rs./Quintal,29-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,"1,200.00","2,200.00","1,700.00",Rs./Quintal,27-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,800.00,"1,500.00","1,100.00",Rs./Quintal,24-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,800.00,"1,500.00","1,100.00",Rs./Quintal,23-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,"1,000.00","1,508.00","1,200.00",Rs./Quintal,22-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,800.00,"1,400.00","1,000.00",Rs./Quintal,20-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,800.00,"1,500.00","1,000.00",Rs./Quintal,19-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,600.00,"1,000.00",800.00,Rs./Quintal,18-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,Grade A,"1,000.00","1,400.00","1,200.00",Rs./Quintal,17-12-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,600.00,"1,000.00",800.00,Rs./Quintal,05-11-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,800.00,"1,100.00","1,000.00",Rs./Quintal,04-11-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,000.00","1,500.00","1,200.00",Rs./Quintal,03-11-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,000.00","1,500.00","1,200.00",Rs./Quintal,01-11-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,100.00","2,000.00","1,400.00",Rs./Quintal,31-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,000.00","1,400.00","1,200.00",Rs./Quintal,30-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,000.00","1,600.00","1,300.00",Rs./Quintal,28-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,000.00","1,600.00","1,400.00",Rs./Quintal,27-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,800.00","2,600.00","2,200.00",Rs./Quintal,23-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,800.00","2,500.00","2,100.00",Rs./Quintal,22-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"2,000.00","2,700.00","2,400.00",Rs./Quintal,21-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,800.00","3,000.00","2,400.00",Rs./Quintal,20-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,600.00","2,400.00","2,000.00",Rs./Quintal,18-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,500.00","2,200.00","1,800.00",Rs./Quintal,17-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,400.00","2,200.00","1,800.00",Rs./Quintal,16-10-2025
Andhra Pradesh,Guntur,Tenali APMC,Vegetables,Lemon,Lemon,FAQ,"1,200.00","2,000.00","1,600.00",Rs./Quintal,15-10-2025
