,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,500.00","3,500.00","3,000.00",Rs./Quintal,28-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"3,000.00","3,500.00","3,250.00",Rs./Quintal,26-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"3,000.00","4,000.00","3,500.00",Rs./Quintal,25-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,000.00","3,000.00","2,500.00",Rs./Quintal,24-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,500.00","3,500.00","3,000.00",Rs./Quintal,23-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"3,000.00","4,000.00","3,500.00",Rs./Quintal,21-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,500.00","3,500.00","3,000.00",Rs./Quintal,20-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"3,000.00","3,500.00","3,100.00",Rs./Quintal,19-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"3,000.00","3,500.00","3,200.00",Rs./Quintal,18-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,500.00","3,000.00","2,800.00",Rs./Quintal,17-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,800.00","3,000.00","2,850.00",Rs./Quintal,16-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"3,000.00","3,500.00","3,200.00",Rs./Quintal,13-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,500.00","3,000.00","2,750.00",Rs./Quintal,12-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,600.00","3,000.00","2,800.00",Rs./Quintal,11-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,000.00","3,500.00","3,000.00",Rs./Quintal,10-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Large,"2,000.00","2,500.00","2,250.00",Rs./Quintal,05-06-2025
Andhra Pradesh,Chittor,Bangarupalyam APMC,Fruits,Mango,Badami,Medium,"2,500.00","3,200.00","3,000.00",Rs./Quintal,03-06-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,300.00","1,100.00",Rs./Quintal,18-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,18-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,300.00","1,100.00",Rs./Quintal,17-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,17-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,300.00","1,100.00",Rs./Quintal,16-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,16-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,300.00","1,100.00",Rs./Quintal,15-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,15-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Medium,800.00,"1,300.00","1,100.00",Rs./Quintal,14-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,14-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,300.00","1,150.00",Rs./Quintal,13-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,13-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,800.00,"1,300.00","1,100.00",Rs./Quintal,12-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,12-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,11-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,11-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,10-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,10-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,09-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,09-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,08-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,08-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,07-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,07-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,06-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,06-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,600.00,"1,300.00","1,100.00",Rs./Quintal,05-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,200.00,400.00,300.00,Rs./Quintal,05-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,300.00,600.00,500.00,Rs./Quintal,03-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Totapuri,Large,400.00,600.00,500.00,Rs./Quintal,03-07-2025
Andhra Pradesh,Chittor,Chittoor APMC,Fruits,Mango,Neelam,Large,300.00,600.00,500.00,Rs./Quintal,02-07-2025
