,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,486.00,"1,749.00","1,415.00",Rs./Quintal,31-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,289.00,"1,869.00","1,419.00",Rs./Quintal,30-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,219.00,"1,617.00","1,286.00",Rs./Quintal,29-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,309.00,"1,711.00","1,127.00",Rs./Quintal,27-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,319.00,"2,026.00","1,465.00",Rs./Quintal,26-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,289.00,"1,889.00","1,389.00",Rs./Quintal,24-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,209.00,"1,789.00","1,085.00",Rs./Quintal,23-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,209.00,"1,959.00","1,569.00",Rs./Quintal,22-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,409.00,"1,869.00","1,385.00",Rs./Quintal,20-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,621.00,"2,015.00","1,161.00",Rs./Quintal,18-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,646.00,"1,829.00","1,325.00",Rs./Quintal,17-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,869.00,"2,289.00","1,729.00",Rs./Quintal,16-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,607.00,"1,809.00","1,171.00",Rs./Quintal,15-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,499.00,"1,559.00","1,106.00",Rs./Quintal,13-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,536.00,"1,511.00","1,049.00",Rs./Quintal,11-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,509.00,"1,515.00","1,089.00",Rs./Quintal,10-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,489.00,"1,409.00","1,197.00",Rs./Quintal,09-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,791.00,"1,311.00",979.00,Rs./Quintal,08-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,630.00,"1,325.00",950.00,Rs./Quintal,06-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,445.00,"1,219.00",829.00,Rs./Quintal,05-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,731.00,"1,379.00",919.00,Rs./Quintal,04-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,609.00,"1,200.00",939.00,Rs./Quintal,03-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,419.00,"1,409.00","1,051.00",Rs./Quintal,02-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,427.00,"1,369.00",959.00,Rs./Quintal,01-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,587.00,"1,269.00",869.00,Rs./Quintal,29-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,400.00,"1,250.00",929.00,Rs./Quintal,28-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,361.00,"1,170.00",710.00,Rs./Quintal,27-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,569.00,"1,129.00",759.00,Rs./Quintal,26-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,485.00,"1,189.00",630.00,Rs./Quintal,25-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,519.00,"1,159.00",689.00,Rs./Quintal,24-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,219.00,"1,000.00",528.00,Rs./Quintal,22-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,201.00,"1,179.00",865.00,Rs./Quintal,19-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,208.00,"1,059.00",659.00,Rs./Quintal,18-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,279.00,959.00,556.00,Rs./Quintal,17-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,FAQ,249.00,"1,291.00",617.00,Rs./Quintal,15-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,237.00,"1,199.00",585.00,Rs./Quintal,14-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,226.00,"1,111.00",720.00,Rs./Quintal,13-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,Local,Local,250.00,"1,328.00",630.00,Rs./Quintal,12-11-2025
