,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,000.00","2,400.00","2,200.00",Rs./Quintal,12-08-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,100.00","2,700.00","2,500.00",Rs./Quintal,09-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,100.00","2,500.00","2,300.00",Rs./Quintal,07-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,500.00","3,500.00","3,000.00",Rs./Quintal,05-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"3,000.00","3,200.00","3,100.00",Rs./Quintal,04-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"3,000.00","3,300.00","3,200.00",Rs./Quintal,03-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"3,000.00","3,400.00","3,200.00",Rs./Quintal,02-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,500.00","3,200.00","2,800.00",Rs./Quintal,01-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,000.00","2,500.00","2,400.00",Rs./Quintal,26-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,000.00","2,600.00","2,400.00",Rs./Quintal,25-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,000.00","2,600.00","2,400.00",Rs./Quintal,23-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,000.00","2,400.00","2,200.00",Rs./Quintal,21-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,000.00","2,400.00","2,200.00",Rs./Quintal,20-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,500.00","2,700.00","2,600.00",Rs./Quintal,18-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Papaya,Other,Medium,"2,500.00","3,500.00","3,000.00",Rs./Quintal,17-04-2025
