,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,600.00","4,600.00","4,600.00",Rs./Quintal,10-12-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,Local,"4,700.00","4,700.00","4,700.00",Rs./Quintal,09-12-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,800.00","4,800.00","4,800.00",Rs./Quintal,08-12-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,800.00","4,800.00","4,800.00",Rs./Quintal,02-12-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,800.00","4,800.00","4,800.00",Rs./Quintal,29-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,800.00","4,800.00","4,800.00",Rs./Quintal,26-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,800.00","4,800.00","4,800.00",Rs./Quintal,25-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,Local,"4,700.00","4,700.00","4,700.00",Rs./Quintal,22-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,700.00","4,700.00","4,700.00",Rs./Quintal,21-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,700.00","4,700.00","4,700.00",Rs./Quintal,20-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,Local,"4,600.00","4,600.00","4,600.00",Rs./Quintal,18-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,Local,"4,700.00","4,700.00","4,700.00",Rs./Quintal,14-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,Local,"4,600.00","4,600.00","4,600.00",Rs./Quintal,13-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Sona,Local,"4,500.00","4,500.00","4,500.00",Rs./Quintal,12-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,Local,"4,500.00","4,500.00","4,500.00",Rs./Quintal,11-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,Local,"4,500.00","4,500.00","4,500.00",Rs./Quintal,10-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,Grade Range-1,"4,600.00","4,600.00","4,600.00",Rs./Quintal,07-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,800.00","4,700.00",Rs./Quintal,06-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,06-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,05-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,05-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,04-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,04-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,03-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,03-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,800.00","4,700.00",Rs./Quintal,01-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,01-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,31-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,31-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,800.00","4,700.00",Rs./Quintal,29-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,29-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,27-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,27-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,700.00","4,550.00",Rs./Quintal,25-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,25-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,24-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,500.00","4,400.00",Rs./Quintal,24-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,23-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,600.00","4,500.00",Rs./Quintal,23-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,22-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,22-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,21-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,21-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,800.00","4,650.00",Rs./Quintal,20-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,20-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,17-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,17-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,700.00","4,500.00",Rs./Quintal,16-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,16-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,15-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,15-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,13-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,13-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,10-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,10-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,09-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,09-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,08-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,08-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,07-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,07-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,06-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,06-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,04-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,04-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,03-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,03-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,01-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,01-10-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,820.00","4,600.00",Rs./Quintal,29-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,29-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,26-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,26-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,25-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,450.00","4,300.00",Rs./Quintal,25-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,24-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,24-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,800.00","4,700.00",Rs./Quintal,23-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,23-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,22-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,22-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,20-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,20-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,19-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,19-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,18-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,18-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,17-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,17-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,800.00","4,600.00",Rs./Quintal,16-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,16-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,800.00","4,600.00",Rs./Quintal,15-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,15-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,900.00","4,700.00",Rs./Quintal,12-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,12-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,900.00","4,700.00",Rs./Quintal,11-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,300.00","4,500.00","4,400.00",Rs./Quintal,11-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,1009 Kar,FAQ,"4,500.00","4,800.00","4,700.00",Rs./Quintal,10-09-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Rice,Fine,FAQ,"4,200.00","4,400.00","4,300.00",Rs./Quintal,10-09-2025
