,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Anantapur,Anantapur APMC,Vegetables,Tomato,Local,Non-FAQ,100.00,200.00,150.00,Rs./Quintal,06-11-2025
Andhra Pradesh,Anantapur,Anantapur APMC,Vegetables,Tomato,Local,Non-FAQ,100.00,200.00,140.00,Rs./Quintal,05-11-2025
Andhra Pradesh,Anantapur,Anantapur APMC,Vegetables,Tomato,Local,Non-FAQ,110.00,240.00,140.00,Rs./Quintal,04-11-2025
Andhra Pradesh,Anantapur,Anantapur APMC,Vegetables,Tomato,Local,Non-FAQ,100.00,220.00,160.00,Rs./Quintal,03-11-2025
Andhra Pradesh,Anantapur,Anantapur APMC,Vegetables,Tomato,Local,Non-FAQ,100.00,230.00,160.00,Rs./Quintal,01-11-2025
Andhra Pradesh,Anantapur,Anantapur APMC,Vegetables,Tomato,Local,FAQ,"1,400.00","2,200.00","1,700.00",Rs./Quintal,20-09-2025
Andhra Pradesh,Anantapur,Anantapur APMC,Vegetables,Tomato,Local,FAQ,"1,400.00","2,400.00","1,700.00",Rs./Quintal,19-09-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,200.00","4,600.00","4,400.00",Rs./Quintal,31-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,30-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,29-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,800.00","5,200.00","5,000.00",Rs./Quintal,27-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,800.00","5,200.00","5,000.00",Rs./Quintal,26-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,600.00","4,960.00","4,800.00",Rs./Quintal,25-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,000.00","4,600.00","4,400.00",Rs./Quintal,24-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,800.00","5,200.00","5,000.00",Rs./Quintal,23-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,200.00","4,600.00","4,400.00",Rs./Quintal,22-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,000.00","4,400.00","4,200.00",Rs./Quintal,20-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,400.00","3,800.00","3,600.00",Rs./Quintal,19-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,600.00","4,000.00","3,800.00",Rs./Quintal,17-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,600.00","4,000.00","3,800.00",Rs./Quintal,16-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,400.00","3,800.00","3,600.00",Rs./Quintal,15-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,200.00","3,600.00","3,400.00",Rs./Quintal,14-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,13-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,600.00","3,000.00","2,800.00",Rs./Quintal,12-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,200.00","2,600.00","2,400.00",Rs./Quintal,11-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,200.00","2,600.00","2,400.00",Rs./Quintal,10-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,600.00","3,000.00","2,800.00",Rs./Quintal,09-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,600.00","3,000.00","2,800.00",Rs./Quintal,08-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,200.00","3,600.00","3,400.00",Rs./Quintal,07-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,400.00","3,800.00","3,600.00",Rs./Quintal,06-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,200.00","3,600.00","3,400.00",Rs./Quintal,05-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,200.00","3,600.00","3,400.00",Rs./Quintal,04-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,600.00","4,000.00","3,800.00",Rs./Quintal,03-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,400.00","3,800.00","3,600.00",Rs./Quintal,02-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,600.00","3,000.00","2,800.00",Rs./Quintal,01-12-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,200.00","2,600.00","2,400.00",Rs./Quintal,30-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"2,800.00","3,200.00","3,000.00",Rs./Quintal,29-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,600.00","4,000.00","3,800.00",Rs./Quintal,28-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,27-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"5,200.00","5,600.00","5,400.00",Rs./Quintal,26-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,600.00","5,000.00","4,800.00",Rs./Quintal,25-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,800.00","5,200.00","5,000.00",Rs./Quintal,24-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"5,200.00","5,600.00","5,400.00",Rs./Quintal,23-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,800.00","5,200.00","5,000.00",Rs./Quintal,22-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,800.00","5,200.00","5,000.00",Rs./Quintal,21-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,400.00","4,800.00","4,600.00",Rs./Quintal,20-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"4,000.00","4,400.00","4,200.00",Rs./Quintal,19-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,400.00","3,800.00","3,600.00",Rs./Quintal,18-11-2025
Andhra Pradesh,Annamayya,Valmikipuram APMC,Vegetables,Tomato,Local,FAQ,"3,600.00","4,000.00","3,800.00",Rs./Quintal,17-11-2025
