,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,500.00","2,300.00",Rs./Quintal,10-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,200.00","2,600.00","2,400.00",Rs./Quintal,02-05-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,400.00","2,200.00",Rs./Quintal,30-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,400.00","2,200.00",Rs./Quintal,29-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,500.00","2,300.00",Rs./Quintal,26-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,500.00","2,300.00",Rs./Quintal,25-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,600.00","2,400.00",Rs./Quintal,23-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,500.00","2,300.00",Rs./Quintal,22-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,100.00","2,600.00","2,300.00",Rs./Quintal,21-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,100.00","2,500.00","2,300.00",Rs./Quintal,20-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,500.00","2,300.00",Rs./Quintal,19-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,000.00","2,500.00","2,300.00",Rs./Quintal,18-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,100.00","2,900.00","2,500.00",Rs./Quintal,17-04-2025
Andhra Pradesh,East Godavari,Rajahmundry APMC,Fruits,Water Melon,Other,Medium,"2,500.00","3,800.00","3,500.00",Rs./Quintal,16-04-2025
